harvest,location,point,type,spp,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl
red_pine,interior,346,commercial,sb,0,0,0,0,1012.8358482059843,0,0,0
red_pine,interior,346,commercial,sm,0,0,0,0,1012.8358482059843,0,0,0
red_pine,interior,346,commercial,wa,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
red_pine,interior,347,commercial,rm,0,0,0,0,1012.8358482059843,0,0,0
red_pine,interior,347,commercial,ro,0,0,0,0,1012.8358482059843,0,0,0
red_pine,interior,347,commercial,wa,0,0,0,0,1012.8358482059843,0,0,0
red_pine,interior,348,commercial,bc,0,0,0,0,1012.8358482059843,0,0,0
red_pine,interior,348,commercial,rm,0,0,0,0,14179.70187488378,0,0,0
red_pine,interior,348,commercial,ro,0,0,0,0,2025.6716964119687,0,0,0
red_pine,interior,348,commercial,wa,1012.8358482059843,0,0,0,3038.507544617953,0,0,0
red_pine,perimeter,880,commercial,rm,1012.8358482059843,0,0,0,0,0,0,0
red_pine,perimeter,880,commercial,sb,1012.8358482059843,0,0,0,0,0,0,0
red_pine,perimeter,881,commercial,rm,0,0,0,0,0,1540.63586243777,0,0
red_pine,perimeter,883,commercial,rm,0,0,0,0,1012.8358482059843,0,0,0
red_pine,perimeter,883,commercial,ro,0,0,0,0,1012.8358482059843,0,0,0
red_pine,perimeter,883,commercial,wa,1012.8358482059843,0,0,0,0,385.1589656094425,0,0
red_pine,perimeter,884,commercial,rm,0,0,0,0,4051.3433928239374,1540.63586243777,0,0
red_pine,perimeter,885,commercial,rm,2025.6716964119687,0,0,0,0,0,0,0
red_pine,perimeter,885,commercial,sb,1012.8358482059843,0,0,0,0,0,0,0
red_pine,perimeter,886,commercial,rm,1012.8358482059843,0,0,0,0,0,0,0
red_pine,perimeter,887,commercial,rm,4051.3433928239374,0,0,0,0,1925.7948280472124,0,0
red_pine,perimeter,887,commercial,ro,4051.3433928239374,0,0,0,0,0,0,0
red_pine,perimeter,888,commercial,rm,0,0,0,0,1012.8358482059843,1540.63586243777,0,0
red_pine,perimeter,889,commercial,sb,1012.8358482059843,0,0,0,0,0,0,0
red_pine,perimeter,889,commercial,wa,0,0,0,0,2025.6716964119687,0,0,0
red_pine,perimeter,890,commercial,rm,0,0,0,0,2025.6716964119687,0,0,0
red_pine,perimeter,890,commercial,sb,0,0,0,0,2025.6716964119687,0,0,0
red_pine,perimeter,890,commercial,wa,1012.8358482059843,0,0,0,2025.6716964119687,0,0,0
red_pine,perimeter,891,commercial,bc,0,0,0,0,2025.6716964119687,0,0,0
red_pine,perimeter,891,commercial,rm,4051.3433928239374,0,0,0,6077.015089235906,0,0,0
red_pine,perimeter,891,commercial,ro,0,0,0,0,0,770.317931218885,0,0
red_pine,perimeter,891,commercial,sm,1012.8358482059843,0,0,0,0,0,0,0
red_pine,perimeter,892,commercial,rm,0,0,0,0,3038.507544617953,0,0,0
red_pine,perimeter,892,commercial,ro,0,0,0,0,1012.8358482059843,0,0,0
sta_rd,control,384,commercial,wa,0,0,0,0,3038.507544617953,0,0,0
