"harvest"	"location"	"spp"	"origin"	"point"	"sup.seed01A"	"sup.seed02A"	"sup.seed03A"	"sup.saplA"	"exp.seed01A"	"exp.seed02A"	"exp.seed03A"	"exp.saplA"	"suppressed"	"exposed"	"top4A"
"161"	"gl"	"interior"	"318"	"t"	868	0	0	0	0	0	0	0	0	0	0	0
"162"	"gl"	"interior"	"318"	"t"	870	0	0	0	0	0	0	0	0	0	0	0
"163"	"rp"	"interior"	"356"	"t"	348	0	0	0	0	0	0	0	0	0	0	0
"164"	"crp"	"control"	"356"	"r"	758	0	0	0	0	0	0	0	0	0	0	0
"165"	"crp"	"control"	"356"	"r"	773	0	0	0	0	0	0	0	0	0	0	0
"166"	"rp"	"interior"	"356"	"r"	337	0	0	0	0	0	0	0	0	0	0	0
"167"	"rp"	"interior"	"356"	"r"	338	0	0	0	0	0	0	0	0	0	0	0
"168"	"rp"	"interior"	"356"	"r"	342	0	0	0	0	0	0	0	0	0	0	0
"169"	"rp"	"interior"	"356"	"r"	343	0	0	0	0	0	0	0	0	0	0	0
"170"	"rp"	"interior"	"356"	"r"	344	5064.17924102992	1925.79482804721	1925.79482804721	1925.79482804721	5064.17924102992	1925.79482804721	1925.79482804721	1925.79482804721	10841.5637251716	10841.5637251716	0
"171"	"rp"	"perimeter"	"356"	"r"	883	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	2168.31274503431
"172"	"rp"	"perimeter"	"356"	"r"	891	10128.3584820598	3851.58965609442	3851.58965609442	3851.58965609442	10128.3584820598	3851.58965609442	3851.58965609442	3851.58965609442	21683.1274503431	21683.1274503431	0
"173"	"cgl"	"control"	"356"	"s"	730	0	0	0	0	0	0	0	0	0	0	0
"174"	"cgl"	"control"	"356"	"s"	733	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"175"	"cgl"	"control"	"356"	"s"	734	0	0	0	0	0	0	0	0	0	0	0
"176"	"cgl"	"control"	"356"	"s"	737	0	0	0	0	0	0	0	0	0	0	0
"177"	"cgl"	"control"	"356"	"s"	738	0	0	0	0	0	0	0	0	0	0	0
"178"	"cgl"	"control"	"356"	"s"	742	0	0	0	0	0	0	0	0	0	0	0
"179"	"crp"	"control"	"356"	"s"	756	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"180"	"crp"	"control"	"356"	"s"	757	0	0	0	0	0	0	0	0	0	0	0
"181"	"crp"	"control"	"356"	"s"	758	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	4336.62549006862
"182"	"crp"	"control"	"356"	"s"	759	0	0	0	0	0	0	0	0	0	0	0
"183"	"crp"	"control"	"356"	"s"	760	0	0	0	0	0	0	0	0	0	0	0
"184"	"crp"	"control"	"356"	"s"	768	0	0	0	0	0	0	0	0	0	0	0
"185"	"crp"	"control"	"356"	"s"	770	0	0	0	0	0	0	0	0	0	0	0
"186"	"crp"	"control"	"356"	"s"	771	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	2168.31274503431
"187"	"crp"	"control"	"356"	"s"	773	0	0	0	0	0	0	0	0	0	0	0
"188"	"cwb"	"control"	"356"	"s"	948	0	0	0	0	0	0	0	0	0	0	0
"189"	"gl"	"interior"	"356"	"s"	860	0	0	0	0	0	0	0	0	0	0	0
"190"	"rp"	"interior"	"356"	"s"	335	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"191"	"rp"	"interior"	"356"	"s"	336	0	0	0	0	0	0	0	0	0	0	0
"192"	"rp"	"interior"	"356"	"s"	337	0	0	0	0	0	0	0	0	0	0	0
"193"	"rp"	"interior"	"356"	"s"	338	0	0	0	0	0	0	0	0	0	0	0
