harvest,year,date,location,point,spp,origin,basal2019,height
sta_rd,2019,2020.07.09,control,702,sb,singl/unk,0.15,27
sta_rd,2019,2020.07.07,control,705,sb,singl/unk,0.2,29.5
sta_rd,2019,2020.06.29,control,387,sb,singl/unk,0.15,30.5
sta_rd,2019,2020.07.09,control,702,sb,singl/unk,0.2,28
sta_rd,2019,2020.07.07,control,704,sb,singl/unk,0.2,37
sta_rd,2019,2020.07.07,control,397,sb,singl/unk,0.2,32.5
sta_rd,2019,2020.07.06,control,948,sb,singl/unk,0.5,37
sta_rd,2019,2020.07.09,control,702,sb,singl/unk,0.2,37
sta_rd,2019,2020.06.29,control,387,sb,singl/unk,0.2,16.5
sta_rd,2019,2020.07.06,control,385,sb,singl/unk,0.6,56
sta_rd,2019,2020.06.29,control,393,sb,singl/unk,0.2,37
sta_rd,2019,2020.07.06,control,949,sb,singl/unk,1,79
sta_rd,2019,2020.06.29,control,393,sb,singl/unk,0.2,37.5
sta_rd,2019,2020.07.07,control,398,sb,singl/unk,0.2,40.5
sta_rd,2019,2020.07.09,control,711,sb,singl/unk,0.2,25
sta_rd,2019,2020.07.07,control,707,sb,singl/unk,0.5,32
sta_rd,2019,2020.06.29,control,392,sb,singl/unk,0.2,19
sta_rd,2019,2020.07.07,control,706,sb,singl/unk,0.2,33
sta_rd,2019,2020.07.06,control,385,sb,singl/unk,0.7,76
sta_rd,2019,2020.07.07,control,708,sb,singl/unk,0.2,31
sta_rd,2019,2020.06.29,control,391,sb,singl/unk,0.25,33
sta_rd,2019,2020.06.29,control,387,sb,singl/unk,0.2,28
sta_rd,2019,2020.06.29,control,392,sb,singl/unk,0.2,19.5
sta_rd,2019,2020.06.29,control,386,sb,singl/unk,0.25,25
sta_rd,2019,2020.07.07,control,708,sb,singl/unk,0.25,37
sta_rd,2019,2020.07.07,control,396,sb,singl/unk,0.9,107
sta_rd,2019,2020.07.06,control,385,sb,singl/unk,0.3,61.5
sta_rd,2019,2020.06.29,control,386,sb,singl/unk,0.25,30.5
sta_rd,2019,2020.06.29,control,386,sb,singl/unk,0.25,47
sta_rd,2019,2020.06.29,control,386,sb,singl/unk,0.3,50.5
sta_rd,2019,2020.06.29,control,393,ab,singl/unk,1,92
sta_rd,2019,2020.07.06,control,389,ab,singl/unk,0.75,54
sta_rd,2019,2020.06.29,control,392,ab,singl/unk,0.65,38
sta_rd,2019,2020.07.09,control,400,ab,singl/unk,0.9,41.5
sta_rd,2019,2020.07.06,control,949,ab,singl/unk,0.5,34
sta_rd,2019,2020.07.09,control,702,ab,singl/unk,0.65,34
sta_rd,2019,2020.07.09,control,703,ab,singl/unk,0.75,50
sta_rd,2019,2020.07.07,control,704,wa,singl/unk,0.2,22.5
sta_rd,2019,2020.07.09,control,710,wa,singl/unk,0.2,21
sta_rd,2019,2020.07.06,control,384,wa,singl/unk,0.3,43
sta_rd,2019,2020.07.07,control,707,wa,singl/unk,0.15,12
sta_rd,2019,2020.07.06,control,384,wa,singl/unk,0.4,37.5
sta_rd,2019,2020.07.06,control,946,wa,singl/unk,0.25,39
sta_rd,2019,2020.07.06,control,946,wa,singl/unk,0.25,38
sta_rd,2019,2020.07.06,control,385,wa,singl/unk,0.25,32.5
sta_rd,2019,2020.07.06,control,949,wa,singl/unk,0.3,44.5
sta_rd,2019,2020.07.09,control,399,wa,singl/unk,0.25,18
sta_rd,2019,2020.07.06,control,949,wa,singl/unk,0.3,31
sta_rd,2019,2020.07.09,control,713,wa,singl/unk,0.2,21.5
sta_rd,2019,2020.07.07,control,704,wa,singl/unk,0.2,22
sta_rd,2019,2020.07.06,control,947,wa,singl/unk,0.4,39
