point,count,spp,origin,harvest,location,year,wall,cut,season,numb_yrs_grow,type,size,stems.per.acre
365,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,0
365,1,ba,veg,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,2025.6716964119687
365,1,ba,veg,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
365,1,ba,veg,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
365,1,ba,veg,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
365,1,ba,veg,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,0
365,1,ba,veg,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,770.317931218885
365,1,ba,veg,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
365,1,ba,veg,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
365,1,ba,veg,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,2025.6716964119687
365,1,ba,veg,boot,interior,2019,protected,2017,2019,2,commercial,exposed,770.317931218885
365,1,ba,veg,boot,interior,2019,protected,2017,2019,2,commercial,total,2795.9896276308536
365,1,ba,veg,boot,interior,2019,protected,2017,2019,2,commercial,winners,770.317931218885
