harvest,location,point,wall,season,cut,year,numb_yrs_grow,origin,spp,LT_seedling,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total,winners
sta_rd,interior,375,protected,2022,2017,2022,5,singl/unk,004,2025.6716964119687,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,375,protected,2022,2017,2022,5,singl/unk,316,0,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
sta_rd,interior,375,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,3038.507544617953,770.317931218885,0,0,0,3808.825475836838,3808.825475836838,1155.4768968283274
sta_rd,interior,375,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,385.1589656094425
sta_rd,interior,376,protected,2022,2017,2022,5,singl/unk,004,2025.6716964119687,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,376,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,376,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,0,5007.066552922752,12325.08689950216,3851.5896560944248,0,21183.743108519335,21183.743108519335,1540.63586243777
sta_rd,interior,377,protected,2022,2017,2022,5,singl/unk,004,3038.507544617953,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,377,protected,2022,2017,2022,5,singl/unk,316,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,377,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,0,6547.702415360522,13095.404830721043,770.317931218885,0,20413.425177300447,20413.425177300447,1540.63586243777
sta_rd,interior,378,protected,2022,2017,2022,5,singl/unk,004,3038.507544617953,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,378,protected,2022,2017,2022,5,veg,315,0,0,0,0,0,3038.507544617953,770.317931218885,0,0,0,3808.825475836838,3808.825475836838,1155.4768968283274
sta_rd,interior,378,protected,2022,2017,2022,5,singl/unk,315,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,378,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,4051.3433928239374,385.1589656094425,0,0,0,4436.502358433379,4436.502358433379,385.1589656094425
sta_rd,interior,379,protected,2022,2017,2022,5,singl/unk,004,2025.6716964119687,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,379,protected,2022,2017,2022,5,singl/unk,541,0,4051.3433928239374,0,0,0,1012.8358482059843,0,0,0,4051.3433928239374,1012.8358482059843,5064.179241029922,1155.4768968283274
sta_rd,interior,379,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,0,0,385.1589656094425,0,0,385.1589656094425,385.1589656094425,385.1589656094425
sta_rd,interior,380,protected,2022,2017,2022,5,singl/unk,004,3038.507544617953,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,380,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,17218.209419501734,385.1589656094425,0,0,0,17603.36838511118,17603.36838511118,0
sta_rd,interior,380,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,0,385.1589656094425,2310.953793656655,0,0,2696.1127592660973,2696.1127592660973,1540.63586243777
sta_rd,interior,381,protected,2022,2017,2022,5,singl/unk,004,3038.507544617953,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,381,protected,2022,2017,2022,5,singl/unk,315,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,381,protected,2022,2017,2022,5,singl/unk,316,0,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,770.317931218885
sta_rd,interior,381,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,770.317931218885
sta_rd,interior,382,protected,2022,2017,2022,5,singl/unk,004,3038.507544617953,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,382,protected,2022,2017,2022,5,singl/unk,315,0,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
sta_rd,interior,382,protected,2022,2017,2022,5,singl/unk,316,0,0,0,0,0,7089.85093744189,0,0,0,0,7089.85093744189,7089.85093744189,0
sta_rd,interior,382,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
sta_rd,interior,382,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,0,770.317931218885,385.1589656094425,0,0,1155.4768968283274,1155.4768968283274,385.1589656094425
sta_rd,interior,382,protected,2022,2017,2022,5,veg,761,0,0,0,0,0,0,3081.27172487554,1155.4768968283274,0,0,4236.748621703868,4236.748621703868,1155.4768968283274
sta_rd,interior,383,protected,2022,2017,2022,5,singl/unk,004,3038.507544617953,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,383,protected,2022,2017,2022,5,singl/unk,316,0,1012.8358482059843,0,0,0,0,0,0,0,1012.8358482059843,0,1012.8358482059843,0
sta_rd,interior,383,protected,2022,2017,2022,5,singl/unk,372,0,0,0,0,0,1012.8358482059843,1155.4768968283274,0,0,0,2168.312745034312,2168.312745034312,0
sta_rd,interior,383,protected,2022,2017,2022,5,singl/unk,541,0,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0,1012.8358482059843,1012.8358482059843,2025.6716964119687,0
sta_rd,interior,383,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,0,3851.5896560944248,770.317931218885,0,0,4621.90758731331,4621.90758731331,770.317931218885
sta_rd,interior,383,protected,2022,2017,2022,5,singl/unk,762,0,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,0
sta_rd,interior,383,protected,2022,2017,2022,5,veg,951,0,0,0,0,0,0,770.317931218885,0,770.317931218885,0,1540.63586243777,1540.63586243777,770.317931218885
sta_rd,control,384,control,2022,2017,2022,5,singl/unk,004,1012.8358482059843,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,control,384,control,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,6077.015089235906,0,0,0,0,6077.015089235906,6077.015089235906,1540.63586243777
sta_rd,control,385,control,2022,2017,2022,5,singl/unk,004,2025.6716964119687,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,control,385,control,2022,2017,2022,5,singl/unk,372,0,0,0,0,0,0,0,1155.4768968283274,0,0,1155.4768968283274,1155.4768968283274,1155.4768968283274
sta_rd,control,385,control,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,385.1589656094425
sta_rd,control,386,control,2022,2017,2022,5,singl/unk,004,1012.8358482059843,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,control,386,control,2022,2017,2022,5,singl/unk,315,0,0,0,0,0,0,1155.4768968283274,0,0,0,1155.4768968283274,1155.4768968283274,0
sta_rd,control,386,control,2022,2017,2022,5,singl/unk,316,0,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
sta_rd,control,386,control,2022,2017,2022,5,singl/unk,372,0,2025.6716964119687,0,0,0,2025.6716964119687,3466.4306904849823,4621.90758731331,0,2025.6716964119687,10114.009974210261,12139.68167062223,1540.63586243777
sta_rd,control,386,control,2022,2017,2022,5,veg,531,0,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,0
sta_rd,control,387,control,2022,2017,2022,5,singl/unk,004,2025.6716964119687,0,0,0,0,0,0,0,0,0,0,0,0
