harvest,location,point,count,season,spp,origin,cut,year,numb_yrs_grow,wall,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total,winners
recknagel,interior,156,1,2020,wa,singl/unk,2019,2020,1,protected,0,0,0,0,7089.85093744189,0,0,0,0,7089.85093744189,7089.85093744189,0
recknagel,interior,156,1,2020,bc,veg,2019,2020,1,protected,0,0,0,0,6077.015089235906,0,0,0,0,6077.015089235906,6077.015089235906,0
recknagel,interior,157,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
recknagel,interior,158,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,158,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,159,1,2020,ab,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,160,1,2020,pc,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,160,1,2020,ro,singl/unk,2019,2020,1,protected,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
recknagel,interior,160,1,2020,ba,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,161,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,interior,162,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
recknagel,interior,163,1,2020,svb,veg,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,163,1,2020,ab,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,164,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,5064.179241029922,0,0,0,0,5064.179241029922,5064.179241029922,0
recknagel,interior,164,1,2020,ro,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,165,1,2020,stm,veg,2019,2020,1,protected,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
recknagel,interior,165,1,2020,bta,singl/unk,2019,2020,1,protected,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,1155.4768968283274
recknagel,interior,165,1,2020,ro,singl/unk,2019,2020,1,protected,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,385.1589656094425
