harvest,season,cut,year,numb_yrs_grow,point,location,wall,spp,count,origin,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total
recknagel_north,2023,2019,2023,4,1434,perimeter,protected,531,1,single,0,770.3099245647735,0,0,0,385.15496228238675,0,54.16241657096063,770.3099245647735,439.31737885334735,1209.6273034181208
recknagel_north,2023,2019,2023,4,1434,perimeter,protected,541,1,single,0,385.15496228238675,0,0,0,0,0,0,385.15496228238675,0,385.15496228238675
recknagel_north,2023,2019,2023,4,1434,perimeter,protected,833,1,single,0,0,0,0,0,385.15496228238675,0,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1434,perimeter,protected,951,1,single,0,385.15496228238675,0,0,0,0,0,0,385.15496228238675,0,385.15496228238675
recknagel_north,2023,2019,2023,4,1435,perimeter,protected,316,1,single,2025.6506416604705,770.3099245647735,0,0,2025.6506416604705,1155.4648868471602,0,0,2795.960566225244,3181.1155285076306,5977.0760947328745
recknagel_north,2023,2019,2023,4,1435,perimeter,protected,372,1,single,1012.8253208302352,0,0,0,0,0,0,0,1012.8253208302352,0,1012.8253208302352
recknagel_north,2023,2019,2023,4,1435,perimeter,protected,531,1,single,0,0,0,0,0,385.15496228238675,0,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1435,perimeter,protected,541,1,single,7089.777245811647,1540.619849129547,0,0,2025.6506416604705,2696.084735976707,0,0,8630.397094941194,4721.735377637177,13352.13247257837
recknagel_north,2023,2019,2023,4,1435,perimeter,protected,701,1,single,0,385.15496228238675,0,0,1012.8253208302352,2310.9297736943204,4236.704585106254,0,385.15496228238675,7560.45967963081,7945.6146419131965
recknagel_north,2023,2019,2023,4,1435,perimeter,protected,761,1,single,1012.8253208302352,0,0,0,0,0,0,0,1012.8253208302352,0,1012.8253208302352
recknagel_north,2023,2019,2023,4,1435,perimeter,protected,762,1,single,0,0,0,0,0,3081.239698259094,0,0,0,3081.239698259094,3081.239698259094
recknagel_north,2023,2019,2023,4,1435,perimeter,protected,833,1,single,0,0,0,0,0,1155.4648868471602,0,0,0,1155.4648868471602,1155.4648868471602
recknagel,2023,2019,2023,4,135,perimeter,unprotected,316,1,single,0,0,0,0,8102.602566641882,0,0,0,0,8102.602566641882,8102.602566641882
recknagel,2023,2019,2023,4,135,perimeter,unprotected,372,1,single,0,0,0,0,0,385.15496228238675,770.3099245647735,108.32483314192126,0,1263.7897199890815,1263.7897199890815
recknagel,2023,2019,2023,4,135,perimeter,unprotected,531,1,single,0,0,0,0,12153.903849962822,385.15496228238675,385.15496228238675,0,0,12924.213774527594,12924.213774527594
recknagel,2023,2019,2023,4,135,perimeter,unprotected,531,2,clump,0,0,0,0,0,770.3099245647735,0,0,0,770.3099245647735,770.3099245647735
recknagel,2023,2019,2023,4,135,perimeter,unprotected,531,4,clump,0,0,0,0,0,1540.619849129547,0,0,0,1540.619849129547,1540.619849129547
recknagel,2023,2019,2023,4,135,perimeter,unprotected,531,40,clump,0,0,0,0,0,15406.19849129547,0,0,0,15406.19849129547,15406.19849129547
recknagel,2023,2019,2023,4,135,perimeter,unprotected,531,6,clump,0,0,0,0,0,2310.9297736943204,0,0,0,2310.9297736943204,2310.9297736943204
recknagel,2023,2019,2023,4,135,perimeter,unprotected,531,7,clump,0,0,0,0,0,2696.084735976707,0,0,0,2696.084735976707,2696.084735976707
recknagel,2023,2019,2023,4,135,perimeter,unprotected,531,6,clump,0,0,0,0,0,2310.9297736943204,0,0,0,2310.9297736943204,2310.9297736943204
recknagel,2023,2019,2023,4,135,perimeter,unprotected,531,2,clump,0,0,0,0,0,770.3099245647735,0,0,0,770.3099245647735,770.3099245647735
recknagel,2023,2019,2023,4,135,perimeter,unprotected,531,4,clump,0,0,0,0,0,1540.619849129547,0,0,0,1540.619849129547,1540.619849129547
recknagel,2023,2019,2023,4,135,perimeter,unprotected,531,3,clump,0,0,0,0,0,1155.4648868471602,0,0,0,1155.4648868471602,1155.4648868471602
recknagel,2023,2019,2023,4,135,perimeter,unprotected,531,3,clump,0,0,0,0,0,1155.4648868471602,0,0,0,1155.4648868471602,1155.4648868471602
recknagel,2023,2019,2023,4,135,perimeter,unprotected,541,1,single,0,0,0,0,0,770.3099245647735,0,0,0,770.3099245647735,770.3099245647735
recknagel,2023,2019,2023,4,135,perimeter,unprotected,701,3,clump,0,0,0,0,0,0,1155.4648868471602,0,0,1155.4648868471602,1155.4648868471602
recknagel,2023,2019,2023,4,135,perimeter,unprotected,701,3,clump,0,0,0,0,0,0,1155.4648868471602,0,0,1155.4648868471602,1155.4648868471602
recknagel,2023,2019,2023,4,135,perimeter,unprotected,743,1,single,0,0,0,0,0,385.15496228238675,1155.4648868471602,0,0,1540.619849129547,1540.619849129547
recknagel,2023,2019,2023,4,135,perimeter,unprotected,743,5,clump,0,0,0,0,0,0,1925.7748114119338,0,0,1925.7748114119338,1925.7748114119338
recknagel,2023,2019,2023,4,135,perimeter,unprotected,762,1,single,0,0,0,0,0,385.15496228238675,0,0,0,385.15496228238675,385.15496228238675
