harvest,wall,location,point,count,season,cut,year,numb_yrs_grow,origin,spp,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total,winners
recknagel,protected,interior,163,1,2021,2019,2021,2,singl/unk,316,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,770.317931218885
recknagel,protected,interior,164,1,2021,2019,2021,2,veg,531,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
recknagel,protected,interior,164,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,8102.686785647875,0,0,0,0,8102.686785647875,8102.686785647875,1540.63586243777
recknagel,protected,interior,164,1,2021,2019,2021,2,singl/unk,355,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,interior,165,1,2021,2019,2021,2,veg,315,0,0,0,0,2025.6716964119687,385.1589656094425,0,0,0,2410.830662021411,2410.830662021411,0
recknagel,protected,interior,165,1,2021,2019,2021,2,singl/unk,316,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,protected,interior,165,1,2021,2019,2021,2,singl/unk,833,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
recknagel,protected,interior,165,1,2021,2019,2021,2,veg,743,0,0,0,0,2025.6716964119687,1155.4768968283274,0,0,0,3181.148593240296,3181.148593240296,1155.4768968283274
recknagel,protected,interior,165,1,2021,2019,2021,2,veg,531,2025.6716964119687,0,0,0,0,0,0,0,2025.6716964119687,0,2025.6716964119687,0
recknagel,protected,interior,165,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,interior,165,1,2021,2019,2021,2,singl/unk,315,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
